Time	x	y	vx	vy
0	0	-2	5	0
0.1	0.475747	-1.89177	4.34512	1.89575
0.2	0.860111	-1.6754	3.3661	2.23917
0.3	1.1558	-1.46782	2.58048	1.84654
0.4	1.37952	-1.31326	1.89311	1.22884
0.5	1.53217	-1.22171	1.13912	0.617619
0.6	1.60434	-1.18607	0.305682	0.109295
0.7	1.59831	-1.19888	-0.385504	-0.372974
0.8	1.53466	-1.26292	-0.861909	-0.914002
0.9	1.42765	-1.38043	-1.28551	-1.41406
1	1.27315	-1.53742	-1.84139	-1.66513
1.1	1.0508	-1.69929	-2.64326	-1.50716
1.2	0.741935	-1.83173	-3.51814	-1.13482
1.3	0.353177	-1.92608	-4.22132	-0.737423
1.4	-0.093599	-1.97001	-4.65649	-0.0609588
1.5	-0.559229	-1.91843	-4.51613	1.18057
1.6	-0.966244	-1.7347	-3.51306	2.37404
1.7	-1.25607	-1.47813	-2.31944	2.59233
1.8	-1.44109	-1.23955	-1.43677	2.10446
1.9	-1.55263	-1.06656	-0.829815	1.32841
2	-1.61176	-0.977	-0.370645	0.454376
2.1	-1.62765	-0.976148	0.0560011	-0.436443
2.2	-1.59824	-1.06289	0.555823	-1.2854
2.3	-1.51067	-1.22875	1.23432	-1.99699
2.4	-1.3427	-1.45161	2.16868	-2.38429
2.5	-1.07115	-1.68615	3.2631	-2.19607
2.6	-0.698224	-1.87156	4.11733	-1.44868
2.7	-0.266243	-1.97097	4.43188	-0.542924
2.8	0.172407	-1.98249	4.27688	0.301789
2.9	0.578266	-1.91247	3.79583	1.08312
3	0.925699	-1.77235	3.13787	1.66648
3.1	1.2052	-1.59197	2.45548	1.87599
3.2	1.41736	-1.40839	1.78741	1.7507
3.3	1.56172	-1.24891	1.09156	1.41033
3.4	1.63407	-1.13161	0.351368	0.909686
3.5	1.63297	-1.07223	-0.360237	0.254004
3.6	1.56539	-1.08485	-0.973105	-0.519568
3.7	1.44082	-1.17751	-1.51474	-1.33433
3.8	1.26085	-1.34987	-2.10514	-2.0914
3.9	1.01271	-1.5874	-2.90848	-2.58729
4	0.667921	-1.84162	-4.03561	-2.28838
4.1	0.21076	-1.98814	-4.94384	-0.391528
4.2	-0.273196	-1.92586	-4.56231	1.38049
4.3	-0.688882	-1.76027	-3.7497	1.76371
4.4	-1.02519	-1.59372	-2.98455	1.5134
4.5	-1.28424	-1.46181	-2.17193	1.13109
4.6	-1.45347	-1.36291	-1.19287	0.873514
4.7	-1.52686	-1.28619	-0.333886	0.63179
4.8	-1.53371	-1.24551	0.141527	0.13903
4.9	-1.50494	-1.26381	0.421517	-0.513571
5	-1.4483	-1.34612	0.735063	-1.10179
5.1	-1.34924	-1.47342	1.31131	-1.37119
5.2	-1.17264	-1.60683	2.26355	-1.261
5.3	-0.89681	-1.72715	3.21979	-1.17427
5.4	-0.53537	-1.84411	3.98565	-1.14703
5.5	-0.103829	-1.94407	4.61789	-0.740687
5.6	0.374069	-1.95957	4.79739	0.621459
5.7	0.815208	-1.805	3.85198	2.33622
5.8	1.1351	-1.54011	2.5924	2.74175
5.9	1.34686	-1.28553	1.7064	2.26515
6	1.48625	-1.09717	1.11929	1.4753
6.1	1.57516	-0.99348	0.672346	0.590848
6.2	1.6211	-0.979194	0.236617	-0.303277
6.3	1.61951	-1.05221	-0.293045	-1.14143
6.4	1.55626	-1.2024	-1.00921	-1.82372
6.5	1.41033	-1.40636	-1.93876	-2.18683
6.6	1.16637	-1.62467	-2.9257	-2.10425
6.7	0.83244	-1.81459	-3.70197	-1.64547
6.8	0.437636	-1.94594	-4.13727	-0.949268
6.9	0.016181	-1.99839	-4.2373	-0.0754825
7	-0.399649	-1.95935	-4.03211	0.841928
7.1	-0.782097	-1.83732	-3.5818	1.54698
7.2	-1.1098	-1.66086	-2.94366	1.92964
7.3	-1.36544	-1.46134	-2.14614	2.01203
7.4	-1.53611	-1.2686	-1.26493	1.79051
7.5	-1.62068	-1.11341	-0.449073	1.26766
7.6	-1.63147	-1.02234	0.204806	0.526506
7.7	-1.58439	-1.01169	0.718696	-0.323613
7.8	-1.48953	-1.08802	1.17758	-1.20132
7.9	-1.34676	-1.25033	1.70244	-2.02843
8	-1.14162	-1.48691	2.45372	-2.64452
8.1	-0.843288	-1.75801	3.57991	-2.60159
8.2	-0.421866	-1.95496	4.75293	-1.05583
8.3	0.0639381	-1.95666	4.74897	0.831996
8.4	0.506299	-1.83444	4.06739	1.43462
8.5	0.87596	-1.69212	3.32301	1.35267
8.6	1.16768	-1.56802	2.47939	1.14211
8.7	1.36476	-1.45755	1.44503	1.09519
8.8	1.46328	-1.35089	0.597842	0.984027
8.9	1.49879	-1.27364	0.16665	0.507119
9	1.50265	-1.25602	-0.0785938	-0.166441
9.1	1.48181	-1.3054	-0.362844	-0.793528
9.2	1.42076	-1.40474	-0.929123	-1.12555
9.3	1.28127	-1.51855	-1.90771	-1.12513
9.4	1.0397	-1.63319	-2.88677	-1.20217
9.5	0.710772	-1.76259	-3.67176	-1.37588
9.6	0.307147	-1.89807	-4.39578	-1.23553
9.7	-0.161938	-1.97733	-4.89535	-0.122672
9.8	-0.63383	-1.88582	-4.30433	1.93498
9.9	-0.999098	-1.63708	-3.01629	2.76193
10	-1.24918	-1.37152	-2.05278	2.4365
